region 1: min=169.05194091796875, max=194.25550842285156
region 2: min=170.51080322265625, max=184.63568115234375
region 3: min=180.7740936279297, max=186.19464111328125
region 4: min=175.35398864746094, max=190.71673583984375
region 5: min=173.369384765625, max=174.8534698486328
region 6: min=190.95797729492188, max=193.62188720703125
region 7: min=205.69993591308594, max=206.09738159179688
region 8: min=196.9403076171875, max=200.92352294921875
region 9: min=190.19090270996094, max=197.9082794189453
