region 1: min=nan, max=nan
region 2: min=144.09429931640625, max=156.9151153564453
region 3: min=157.69496154785156, max=165.6331787109375
region 4: min=166.90704345703125, max=180.2266082763672
region 5: min=180.54429626464844, max=198.93594360351562
region 6: min=200.2821502685547, max=213.86595153808594
region 7: min=188.9116973876953, max=204.97235107421875
region 8: min=183.30238342285156, max=212.5339813232422
region 9: min=209.13470458984375, max=219.9783935546875
