region 1: min=nan, max=nan
region 2: min=62.74433322296139, max=72.02960717341605
region 3: min=103.64051504740306, max=104.78615026376842
region 4: min=109.29963727552442, max=115.71657196198197
region 5: min=119.96233123688437, max=120.79562726512417
region 6: min=124.95607330359114, max=125.24907670790783
region 7: min=144.24153658701044, max=145.48227524242637
region 8: min=114.11389108412055, max=116.11007865995629
region 9: min=99.12636001551581, max=103.01384042047067
