region 1: min=184.00970758521984, max=190.3800074811345
region 2: min=178.0016377179287, max=179.3719376138433
region 3: min=188.14781258131674, max=190.7180279078845
region 4: min=172.58013433515475, max=182.17265645329164
region 5: min=169.31202998959145, max=181.05262978142076
region 6: min=177.9404615534739, max=181.1329413869373
region 7: min=168.39509009888104, max=173.09872332812904
region 8: min=161.94958853760082, max=168.44587073900595
region 9: min=181.26593644288326, max=184.3103386026542
