region 1: min=48.71826682377056, max=53.51126621811723
region 2: min=75.34218833653398, max=78.19797968253101
region 3: min=137.09487643622663, max=138.83262597314916
region 4: min=112.8053270104787, max=113.96352675356817
region 5: min=128.95903152367717, max=131.04377886994536
region 6: min=123.74054427686272, max=123.75518037558908
region 7: min=111.71648748378021, max=111.71648748378021
region 8: min=106.05655924233206, max=106.05655924233206
region 9: min=94.23493205281358, max=94.23493205281358
