region 1: min=99.23329816298885, max=101.35797533188037
region 2: min=114.33138793014652, max=118.6012646827551
region 3: min=145.1694279564375, max=145.90473374224123
region 4: min=142.82611244895432, max=152.33802959009395
region 5: min=144.09491739024807, max=155.0910062918788
region 6: min=160.9857852775662, max=162.0081486557613
region 7: min=157.95220316376117, max=158.612339042014
region 8: min=136.15942181388832, max=139.9150736109909
region 9: min=130.0152660345019, max=133.4062950756497
