region 1: min=116.533935546875, max=152.22547912597656
region 2: min=117.34739685058594, max=163.9879608154297
region 3: min=115.75667572021484, max=177.81124877929688
region 4: min=137.61154174804688, max=197.97206115722656
region 5: min=148.95733642578125, max=187.83123779296875
region 6: min=145.63406372070312, max=187.6570587158203
region 7: min=156.89381408691406, max=202.02923583984375
region 8: min=158.16668701171875, max=187.92144775390625
region 9: min=140.5983428955078, max=220.9687042236328
