region 1: min=157.83608408323948, max=159.72703927634046
region 2: min=158.4200344019497, max=159.61724043869506
region 3: min=156.19437298462688, max=159.3475606486688
region 4: min=162.29323931383567, max=163.9610973940757
region 5: min=164.5414877202849, max=166.2528911698537
region 6: min=162.86043503937, max=164.88202634045746
region 7: min=175.47745003749526, max=176.1276538245219
region 8: min=175.50605108736403, max=176.80645866141722
region 9: min=168.32333755155594, max=169.43882311586037
