region 1: min=146.85171508789062, max=169.3665008544922
region 2: min=171.41818237304688, max=184.07310485839844
region 3: min=150.81277465820312, max=170.37632751464844
region 4: min=179.16128540039062, max=185.2115478515625
region 5: min=174.80535888671875, max=183.43174743652344
region 6: min=148.8324432373047, max=198.64739990234375
region 7: min=151.92640686035156, max=198.72830200195312
region 8: min=186.41131591796875, max=200.43943786621094
region 9: min=162.53028869628906, max=187.25775146484375
