region 1: min=147.57534815445683, max=150.02941639592666
region 2: min=144.90599279719316, max=147.4456673641975
region 3: min=144.19008438997062, max=158.54612630575548
region 4: min=151.29017238040421, max=151.4017209368347
region 5: min=152.34345124615504, max=152.54060612811998
region 6: min=154.2009089054592, max=158.68879339357292
region 7: min=144.2626133252861, max=149.59100180305163
region 8: min=150.75322589287717, max=153.49005534184647
region 9: min=161.76287184418925, max=165.3064834190676
