region 1: min=164.93868911009935, max=166.694937866179
region 2: min=171.87553566319616, max=172.50851424599767
region 3: min=199.00276344677897, max=202.66051198206273
region 4: min=166.14236940391336, max=168.03869486323092
region 5: min=170.67702968926864, max=175.3050127657325
region 6: min=186.00341805985755, max=186.93211926708224
region 7: min=178.1766545695413, max=178.6072795773158
region 8: min=169.59268256085886, max=175.77195052928812
region 9: min=206.4894756564791, max=207.5920022919233
