region 1: min=117.03011322021484, max=131.0935821533203
region 2: min=117.47708129882812, max=133.25270080566406
region 3: min=123.46913146972656, max=134.552978515625
region 4: min=172.23898315429688, max=195.52601623535156
region 5: min=181.9234619140625, max=208.07688903808594
region 6: min=186.31056213378906, max=207.63800048828125
region 7: min=198.38162231445312, max=211.63644409179688
region 8: min=207.1217041015625, max=224.0555877685547
region 9: min=207.310546875, max=222.69308471679688
