region 1: min=139.885022291734, max=141.8261734620501
region 2: min=141.32162635278465, max=142.5486604735196
region 3: min=149.37720085931053, max=151.0618934940497
region 4: min=132.72401754575193, max=134.62034300506951
region 5: min=142.5038347625211, max=145.43745865242875
region 6: min=141.92637615503557, max=144.58061293280136
region 7: min=138.11377256139207, max=139.48571666127341
region 8: min=142.99176037284727, max=147.45370263006512
region 9: min=137.08393107539658, max=140.87658199403177
