region 1: min=70.17064666748047, max=94.97505950927734
region 2: min=59.06218719482422, max=74.7125244140625
region 3: min=109.22132110595703, max=130.8031768798828
region 4: min=70.61607360839844, max=81.95254516601562
region 5: min=83.315185546875, max=105.02149200439453
region 6: min=107.06732177734375, max=137.80587768554688
region 7: min=90.16515350341797, max=97.56094360351562
region 8: min=73.94427490234375, max=125.34040069580078
region 9: min=119.23512268066406, max=123.18467712402344
