region 1: min=92.73458862304688, max=103.93291473388672
region 2: min=94.02389526367188, max=103.09140014648438
region 3: min=96.07785034179688, max=111.8624038696289
region 4: min=121.12419891357422, max=158.3489532470703
region 5: min=129.62213134765625, max=159.68850708007812
region 6: min=146.03662109375, max=176.2496795654297
region 7: min=169.9831085205078, max=205.91270446777344
region 8: min=170.15911865234375, max=203.3204803466797
region 9: min=194.1925506591797, max=212.69131469726562
