region 1: min=248.30210524418766, max=251.87615522377462
region 2: min=239.1322131381119, max=241.11302581296715
region 3: min=219.2095474612627, max=221.93910269894863
region 4: min=190.30590165323486, max=191.72697937805057
region 5: min=165.08779670098411, max=165.08779670098411
region 6: min=133.6262251247291, max=136.6683352346232
region 7: min=184.86172944087417, max=185.6440603868983
region 8: min=124.70132426949229, max=126.13846478977644
region 9: min=100.63573600240183, max=103.47220163876491
