region 1: min=124.74513244628906, max=151.50994873046875
region 2: min=153.77713012695312, max=155.5843963623047
region 3: min=153.64520263671875, max=168.43873596191406
region 4: min=227.05238342285156, max=228.0909881591797
region 5: min=213.1346893310547, max=213.1346893310547
region 6: min=215.21348571777344, max=217.31007385253906
region 7: min=217.4632568359375, max=224.55677795410156
region 8: min=221.14306640625, max=221.3479461669922
region 9: min=213.2203369140625, max=225.2043914794922
