region 1: min=128.59674072265625, max=128.86744689941406
region 2: min=118.75533294677734, max=125.33501434326172
region 3: min=101.39989471435547, max=101.39989471435547
region 4: min=122.310791015625, max=148.17709350585938
region 5: min=132.10118103027344, max=150.15704345703125
region 6: min=104.47181701660156, max=124.24671936035156
region 7: min=145.35345458984375, max=149.88328552246094
region 8: min=142.9852294921875, max=145.0164794921875
region 9: min=122.95127868652344, max=129.2309112548828
