region 1: min=109.52086639404297, max=158.0154266357422
region 2: min=125.09971618652344, max=175.22488403320312
region 3: min=121.30319213867188, max=169.66368103027344
region 4: min=123.92007446289062, max=169.85702514648438
region 5: min=128.40623474121094, max=164.04556274414062
region 6: min=131.29295349121094, max=183.6849822998047
region 7: min=140.18914794921875, max=170.1808319091797
region 8: min=142.39486694335938, max=209.48138427734375
region 9: min=160.35739135742188, max=203.0150909423828
