region 1: min=178.62817575406018, max=180.86986497808695
region 2: min=179.875169180201, max=181.1335444057746
region 3: min=183.93861658932718, max=184.94139758958502
region 4: min=179.90310808197975, max=181.38092452951776
region 5: min=181.43059583655582, max=183.30279872389787
region 6: min=186.06072280226874, max=186.84406258056208
region 7: min=182.16969740912597, max=183.49746874194366
region 8: min=184.40543793503485, max=186.71652326630579
region 9: min=184.67467936323803, max=185.89968258571804
