X_Pos	Y_Value
0.0000	0.0293
1.0000	0.0156
2.0000	0.0065
3.0000	0.0199
4.0000	0.0128
5.0000	0.0131
6.0000	0.0075
7.0000	0.0154
8.0000	0.0133
9.0000	0.0081
10.0000	0.0219
11.0000	0.0147
12.0000	0.0161
13.0000	0.0129
14.0000	0.0066
15.0000	0.0051
16.0000	0.0021
17.0000	0.0050
18.0000	0.0119
21.0000	0.0143
22.0000	0.0063
23.0000	0.0066
