region 1: min=132.32392100977194, max=133.4702700868621
region 2: min=126.75980139341306, max=126.75980139341306
region 3: min=144.526160423453, max=144.526160423453
region 4: min=136.57598398479908, max=137.2074126854867
region 5: min=135.0823403003982, max=135.0823403003982
region 6: min=135.50457157075664, max=136.9842539811801
region 7: min=133.6112219507781, max=134.38899972855586
region 8: min=130.57567182410426, max=132.16646534563884
region 9: min=140.19568177705412, max=147.19568177705412
