region 1: min=138.16899554109418, max=138.16899554109418
region 2: min=151.48715051819713, max=151.48715051819713
region 3: min=165.46015003615335, max=165.46015003615335
region 4: min=128.02882923596042, max=128.02882923596042
region 5: min=141.56409677030612, max=141.56409677030612
region 6: min=146.55928838274292, max=146.55928838274292
region 7: min=109.99802060737517, max=109.99802060737517
region 8: min=124.55052120993014, max=124.55052120993014
region 9: min=138.07892564473377, max=138.07892564473377
