region 1: min=71.55912780761719, max=71.55912780761719
region 2: min=76.00390625, max=76.00390625
region 3: min=46.69646453857422, max=46.69646453857422
region 4: min=72.67691040039062, max=72.67691040039062
region 5: min=76.52497863769531, max=76.52497863769531
region 6: min=50.17387390136719, max=50.17387390136719
region 7: min=58.76939392089844, max=58.76939392089844
region 8: min=69.99070739746094, max=69.99070739746094
region 9: min=69.49547576904297, max=69.49547576904297
