X_Pos	Y_Value Grade
1 0.37087168699382095 +
2 0.26810112746086573 +
3 0.18642139827980603 +
4 0.1414094578062824 +
5 0.12203383269431159 +
6 0.07964676822379652 +
7 0.08074056226278302 +
8 0.0520403288883547 +
9 0.04375008104112887 +
10 0.030223571638363908 +
11 0.031178244459906714 +
12 0.02497212833898225 +
13 0.023157621867348693 +
14 0.012243616915361256 +
15 0.007416721064899125 +
16 0.014911990484542762 +
17 0.0047490724322214965 +
18 0.003415370290872498 +
19 0.0 +

