X_Pos	Y_Value Grade
1 0.031967015603592205 +
2 0.015778747896689403 +
3 0.0082070439510828 +
4 0.016204138852761632 +
5 0.012349427142413213 +
6 0.009576387383186134 +
7 0.014264568070463458 +
8 0.009128311537046418 +
9 0.0068913271795259055 +
10 0.01324302974491102 +
11 0.004734042457606817 +
12 0.018029735728145996 +
13 0.005694294011436143 +
14 0.011201452298756064 +
15 0.006799679625670035 +
16 0.00978382758763275 +
17 0.0005664471695227705 +
18 0.0006141095280569135 +
19 0.0 +
