region 1: min=90.96640014648438, max=94.21572875976562
region 2: min=159.7195281982422, max=163.83218383789062
region 3: min=75.01847839355469, max=171.7123260498047
region 4: min=110.733642578125, max=132.6131591796875
region 5: min=142.34825134277344, max=143.46481323242188
region 6: min=100.42356872558594, max=144.03842163085938
region 7: min=168.4274444580078, max=175.45419311523438
region 8: min=113.23783874511719, max=123.70433044433594
region 9: min=96.34513092041016, max=119.06689453125
