region 1: min=96.79750061035156, max=136.27915954589844
region 2: min=123.14188385009766, max=147.6365966796875
region 3: min=93.70669555664062, max=139.5369415283203
region 4: min=99.53588104248047, max=126.38957977294922
region 5: min=129.72177124023438, max=169.8205108642578
region 6: min=49.152042388916016, max=127.52327728271484
region 7: min=130.01214599609375, max=172.3643035888672
region 8: min=141.96380615234375, max=155.91876220703125
region 9: min=56.45881652832031, max=99.1824951171875
