region 1: min=122.93208926378253, max=129.97095685188978
region 2: min=125.73760169824374, max=128.14506331007908
region 3: min=124.51726579011375, max=129.36046034625736
region 4: min=147.60540052742806, max=148.91433937444276
region 5: min=124.84521324680016, max=132.40087125391983
region 6: min=109.31136401892778, max=121.34027281625445
region 7: min=136.31088927126376, max=137.91352142442986
region 8: min=126.03694927088979, max=129.87055255266483
region 9: min=106.66812426356461, max=110.15011907656455
