region 1: min=191.62112426757812, max=197.13006591796875
region 2: min=188.72744750976562, max=197.15481567382812
region 3: min=174.3543243408203, max=200.21734619140625
region 4: min=197.31527709960938, max=206.3779296875
region 5: min=167.43629455566406, max=210.8824462890625
region 6: min=180.79730224609375, max=212.51947021484375
region 7: min=202.88787841796875, max=214.41360473632812
region 8: min=166.40817260742188, max=190.4854736328125
region 9: min=172.46316528320312, max=190.18380737304688
