region 1: min=69.86997222222215, max=69.86997222222215
region 2: min=84.78939285714284, max=84.78939285714284
region 3: min=110.83002777777789, max=110.83002777777789
region 4: min=71.89834523809513, max=71.89834523809513
region 5: min=90.6669325396825, max=90.6669325396825
region 6: min=110.94567857142867, max=110.94567857142867
region 7: min=83.20217063492056, max=83.20217063492056
region 8: min=99.73264682539684, max=99.73264682539684
region 9: min=116.04998015873022, max=116.04998015873022
