region 1: min=181.75497436523438, max=181.75497436523438
region 2: min=179.9398651123047, max=179.9398651123047
region 3: min=149.93206787109375, max=149.93206787109375
region 4: min=181.4055633544922, max=181.4055633544922
region 5: min=166.35569763183594, max=166.35569763183594
region 6: min=157.0635986328125, max=157.0635986328125
region 7: min=182.20751953125, max=182.20751953125
region 8: min=175.6087188720703, max=175.6087188720703
region 9: min=183.02947998046875, max=183.02947998046875
