region 1: min=165.52630615234375, max=165.52630615234375
region 2: min=152.72116088867188, max=152.72116088867188
region 3: min=184.15789794921875, max=184.15789794921875
region 4: min=181.28211975097656, max=181.28211975097656
region 5: min=198.2813262939453, max=198.2813262939453
region 6: min=220.99888610839844, max=220.99888610839844
region 7: min=183.1517791748047, max=183.1517791748047
region 8: min=200.4258575439453, max=200.4258575439453
region 9: min=201.69137573242188, max=201.69137573242188
