region 1: min=125.28934478759766, max=139.483642578125
region 2: min=120.66963958740234, max=129.5828857421875
region 3: min=116.21109771728516, max=127.72201538085938
region 4: min=192.4737091064453, max=196.1588897705078
region 5: min=163.2709197998047, max=175.35919189453125
region 6: min=161.6258087158203, max=178.13436889648438
region 7: min=203.04031372070312, max=208.56671142578125
region 8: min=206.51502990722656, max=214.25527954101562
region 9: min=179.6805419921875, max=185.21958923339844
