region 1: min=145.43474435116707, max=147.55570256279876
region 2: min=164.15708029291247, max=173.47749566781087
region 3: min=176.9951809079348, max=189.26640989229367
region 4: min=93.87417769658816, max=95.15109818775043
region 5: min=94.38622946140566, max=94.42632413315809
region 6: min=90.9294781012602, max=92.05299326975423
region 7: min=127.65270534693946, max=132.12168146871056
region 8: min=110.49197501535261, max=111.68548142846606
region 9: min=86.17654144004119, max=86.35462126225076
