region 1: min=80.56209564208984, max=94.46434020996094
region 2: min=63.11406707763672, max=91.42160034179688
region 3: min=102.95230865478516, max=135.08880615234375
region 4: min=73.97501373291016, max=95.51433563232422
region 5: min=89.02659606933594, max=109.78633117675781
region 6: min=100.96250915527344, max=100.96250915527344
region 7: min=88.34366607666016, max=108.68304443359375
region 8: min=94.35228729248047, max=108.00276184082031
region 9: min=111.57003784179688, max=151.6172332763672
