region 1: min=150.23309326171875, max=170.05560302734375
region 2: min=129.03160095214844, max=149.95045471191406
region 3: min=124.78549194335938, max=153.68576049804688
region 4: min=183.35382080078125, max=216.90231323242188
region 5: min=206.4378204345703, max=226.86952209472656
region 6: min=214.63385009765625, max=225.2135009765625
region 7: min=142.4480743408203, max=215.02020263671875
region 8: min=178.83377075195312, max=201.33074951171875
region 9: min=214.5725860595703, max=217.77297973632812
