region 1: min=104.06165031250144, max=108.53378319295034
region 2: min=118.28686321971168, max=122.19090884268527
region 3: min=182.82434989049563, max=182.89489492163145
region 4: min=194.47416596618243, max=197.30376361083933
region 5: min=205.80836204461377, max=206.67968957965218
region 6: min=206.4558000217295, max=207.30217951840996
region 7: min=221.6697332812975, max=222.73736451489333
region 8: min=216.67414915455842, max=217.50462805425488
region 9: min=214.53784989049603, max=215.124528574043
