region 1: min=115.33041794079375, max=115.55064251372768
region 2: min=126.64681268890773, max=127.95570792687548
region 3: min=187.01177567080268, max=189.48030931363243
region 4: min=157.81312990076765, max=161.8967257584332
region 5: min=140.64306764542093, max=142.53083537197418
region 6: min=165.71922855725128, max=170.38469262156465
region 7: min=188.2187283798061, max=191.8843975981507
region 8: min=188.46855344508205, max=189.77127230579973
region 9: min=183.73343076071555, max=188.41207811681295
