region 1: min=154.21606344161958, max=157.27221927966093
region 2: min=155.69462099811693, max=156.83340983992485
region 3: min=161.7612141007536, max=162.90040313088537
region 4: min=149.31473634651593, max=163.39776953860635
region 5: min=143.5750735640302, max=147.43588453389833
region 6: min=156.7339365583807, max=157.67858109698702
region 7: min=151.8690913370998, max=153.81333568738228
region 8: min=150.03235640301327, max=155.87912841337106
region 9: min=148.705458451036, max=152.48323622881378
