region 1: min=101.7026022071732, max=104.25469651366932
region 2: min=98.52113744670172, max=106.08015425131671
region 3: min=102.64764860797597, max=105.86640958113875
region 4: min=102.31544394281406, max=102.79026210183089
region 5: min=99.29277025332324, max=102.9494419362929
region 6: min=95.07556433408583, max=99.19013669425645
region 7: min=120.99517807875584, max=121.91097943315766
region 8: min=111.00633935289687, max=114.27239152244789
region 9: min=83.82950213192879, max=85.10554928517689
