region 1: min=129.77883911132812, max=175.00440979003906
region 2: min=109.74493408203125, max=168.28758239746094
region 3: min=62.79222106933594, max=156.30726623535156
region 4: min=148.46678161621094, max=207.5371551513672
region 5: min=144.573486328125, max=202.24998474121094
region 6: min=162.9548797607422, max=199.24273681640625
region 7: min=170.74539184570312, max=222.603515625
region 8: min=161.0456085205078, max=215.32684326171875
region 9: min=162.72047424316406, max=211.67889404296875
