region 1: min=182.93464750351612, max=191.47786568213783
region 2: min=183.73801424050623, max=190.12315400843877
region 3: min=216.69546413502113, max=217.5376626230662
region 4: min=221.10299314346003, max=224.71963783403675
region 5: min=228.3646536568216, max=229.22236286919855
region 6: min=219.2137570323492, max=219.40924314346032
region 7: min=230.40755977496514, max=231.9268196202534
region 8: min=195.16975210970514, max=196.08053797468412
region 9: min=171.25980573136485, max=177.63360144163207
