region 1: min=70.25962348593183, max=73.03565698639413
region 2: min=68.20174056812374, max=70.00629110023719
region 3: min=59.55575597155949, max=63.11262936703494
region 4: min=74.77529943945723, max=75.37258948006212
region 5: min=68.80834259434754, max=69.18253552209151
region 6: min=63.74946666609247, max=63.78005830849385
region 7: min=70.83713989731035, max=74.55778951796775
region 8: min=66.44941770476174, max=71.06245577686269
region 9: min=61.02752323150542, max=62.84289177679394
