region 1: min=192.6809844970703, max=199.6130828857422
region 2: min=168.2037811279297, max=200.434814453125
region 3: min=164.964599609375, max=193.8179168701172
region 4: min=175.84344482421875, max=204.2286834716797
region 5: min=162.7750701904297, max=204.92218017578125
region 6: min=153.64451599121094, max=194.2726287841797
region 7: min=181.29656982421875, max=204.64767456054688
region 8: min=153.0154266357422, max=198.61460876464844
region 9: min=149.04347229003906, max=200.4656982421875
