region 1: min=161.94474406380652, max=164.8945718023582
region 2: min=166.48318255380607, max=169.5207049603377
region 3: min=165.74533655097758, max=168.849856935972
region 4: min=167.09768665038573, max=168.1892816146241
region 5: min=166.8823037206157, max=168.3035330121187
region 6: min=167.8754565881798, max=172.7528302832019
region 7: min=173.5076143126698, max=174.6139057826971
region 8: min=173.49918879040106, max=178.1773559726283
region 9: min=172.37787695936913, max=174.74611137868385
