region 1: min=165.60492204107913, max=168.89926022807347
region 2: min=165.2804376087825, max=165.63302283882967
region 3: min=155.61424222752, max=163.2972593638333
region 4: min=178.79693774858603, max=180.9178353815567
region 5: min=172.23339007420975, max=173.4037790627672
region 6: min=163.315132823485, max=164.52695837129446
region 7: min=183.04078749245798, max=190.2484905053935
region 8: min=166.406523160579, max=181.54111950936306
region 9: min=174.48629578234554, max=185.17440608540497
