region 1: min=119.44778442382812, max=198.81814575195312
region 2: min=102.07125854492188, max=180.45457458496094
region 3: min=99.26038360595703, max=187.25921630859375
region 4: min=136.0907745361328, max=199.25439453125
region 5: min=79.96443939208984, max=179.1959228515625
region 6: min=103.13939666748047, max=184.3866424560547
region 7: min=71.27352142333984, max=184.879150390625
region 8: min=114.52750396728516, max=176.90350341796875
region 9: min=112.68514251708984, max=197.22157287597656
