region 1: min=158.08785597572341, max=162.38208522045176
region 2: min=179.53183830350304, max=179.83490214267496
region 3: min=193.0231744212834, max=193.06136318163598
region 4: min=183.67533642244763, max=184.98283063225267
region 5: min=190.1146017118968, max=190.24611132331722
region 6: min=178.86161510058568, max=179.62154975626584
region 7: min=205.45546533007143, max=205.98250891265602
region 8: min=183.91790295663702, max=184.12051847254043
region 9: min=162.55347044120663, max=165.35083635727003
