region 1: min=139.35719299316406, max=139.35719299316406
region 2: min=155.78732299804688, max=155.78732299804688
region 3: min=183.0148162841797, max=183.0148162841797
region 4: min=126.35482025146484, max=127.23479461669922
region 5: min=155.2861328125, max=155.2861328125
region 6: min=165.48312377929688, max=165.48312377929688
region 7: min=127.57833862304688, max=127.57833862304688
region 8: min=113.47650909423828, max=113.47650909423828
region 9: min=145.96255493164062, max=145.96255493164062
