region 1: min=144.64225966745423, max=148.75951910627873
region 2: min=153.20510636845466, max=154.44704782383457
region 3: min=159.62724715486343, max=160.02107727333293
region 4: min=154.6681568848972, max=155.20807230324428
region 5: min=158.99650419895244, max=161.2223083640024
region 6: min=161.83875780771314, max=162.61922138598104
region 7: min=161.28671183088196, max=164.29102941781684
region 8: min=163.79387488094932, max=163.8231651221082
region 9: min=161.70354016342492, max=163.77748809817786
