region 1: min=159.63981142302845, max=164.71055175168306
region 2: min=167.96820124386616, max=168.6885478717333
region 3: min=154.25141475522085, max=156.31978203811485
region 4: min=167.93602191030456, max=172.78366512609827
region 5: min=159.95270512381597, max=166.53272167066072
region 6: min=149.77194482483185, max=163.50050696108644
region 7: min=172.74339609722676, max=173.07804176651814
region 8: min=165.8902165354331, max=168.11983938149038
region 9: min=160.5303132488875, max=162.0906447563621
