region 1: min=79.81278302240153, max=80.44263045478174
region 2: min=79.35045552629117, max=86.14746717561376
region 3: min=129.95592333774601, max=133.23936495135732
region 4: min=102.58784028008068, max=104.10551810320182
region 5: min=93.24339714127285, max=101.20095754161518
region 6: min=106.74081774791657, max=110.71955281227254
region 7: min=141.913028839873, max=149.6571893902228
region 8: min=134.372963595353, max=137.50272104159208
region 9: min=132.90571678072533, max=140.15537545004497
