region 1: min=82.86792755126953, max=127.88030242919922
region 2: min=77.14936828613281, max=121.04193878173828
region 3: min=64.47173309326172, max=119.8978271484375
region 4: min=99.45155334472656, max=176.03501892089844
region 5: min=93.1521224975586, max=166.42059326171875
region 6: min=86.27577209472656, max=158.39817810058594
region 7: min=109.32168579101562, max=188.19821166992188
region 8: min=107.56246948242188, max=175.98780822753906
region 9: min=111.96415710449219, max=161.89157104492188
