region 1: min=105.19563492063476, max=108.45679563492047
region 2: min=147.68273809523805, max=152.17390873015876
region 3: min=153.84166666666684, max=156.65059523809538
region 4: min=125.81349206349188, max=128.63020833333317
region 5: min=156.34161706349204, max=159.03943452380955
region 6: min=159.38164682539687, max=165.65059523809538
region 7: min=140.17797619047602, max=143.7646825396824
region 8: min=167.01607142857137, max=167.483878968254
region 9: min=164.0249503968254, max=168.95277777777795
