region 1: min=138.5172719876117, max=142.154009616048
region 2: min=180.02659715752569, max=182.3910059106837
region 3: min=205.01206843047967, max=206.91016272828426
region 4: min=157.66734947681007, max=158.0086282523508
region 5: min=159.01987893290791, max=159.08728507993268
region 6: min=161.60318484628453, max=162.00167132481053
region 7: min=93.84207590347187, max=93.84207590347187
region 8: min=87.59921936551473, max=91.00433817998179
region 9: min=73.39540810627638, max=75.98305764284521
