region 1: min=140.1949920654297, max=164.885986328125
region 2: min=157.4066925048828, max=157.7882537841797
region 3: min=151.55328369140625, max=157.76055908203125
region 4: min=119.33433532714844, max=152.71063232421875
region 5: min=148.7731170654297, max=165.75245666503906
region 6: min=154.36106872558594, max=155.37672424316406
region 7: min=161.0767364501953, max=171.61276245117188
region 8: min=181.4055633544922, max=185.94581604003906
region 9: min=144.7138671875, max=157.30148315429688
