region 1: min=147.3197479248047, max=163.57696533203125
region 2: min=158.09153747558594, max=161.7325897216797
region 3: min=164.8043212890625, max=177.0238037109375
region 4: min=173.2884521484375, max=186.14166259765625
region 5: min=179.0664825439453, max=201.2490692138672
region 6: min=190.68409729003906, max=211.98995971679688
region 7: min=123.69461059570312, max=138.69554138183594
region 8: min=190.96771240234375, max=201.21136474609375
region 9: min=200.17393493652344, max=207.4564208984375
