region 1: min=65.57383337253894, max=68.29623668161373
region 2: min=93.515357192056, max=94.99985360709309
region 3: min=151.58076674472397, max=153.07055344323237
region 4: min=124.92651186303162, max=129.93460298380515
region 5: min=134.1455922787659, max=136.79636768569915
region 6: min=131.47158815021706, max=135.23448040810794
region 7: min=149.5878333996649, max=152.22687003783614
region 8: min=152.83286010693828, max=154.97284687242802
region 9: min=137.95848726780812, max=138.58080377605341
