region 1: min=178.54883935508937, max=178.54883935508937
region 2: min=112.09962606837607, max=120.43107517482518
region 3: min=41.49502233877237, max=41.49502233877237
region 4: min=166.88405691530693, max=166.88405691530693
region 5: min=87.31807983682987, max=87.31807983682987
region 6: min=66.52893842268848, max=66.52893842268848
region 7: min=180.6665452602953, max=180.6665452602953
region 8: min=116.08266802641805, max=116.08266802641805
region 9: min=45.3057740870241, max=45.3057740870241
