region 1: min=130.54156494140625, max=157.54104614257812
region 2: min=134.73944091796875, max=162.20376586914062
region 3: min=115.80318450927734, max=125.38236236572266
region 4: min=132.86724853515625, max=140.24331665039062
region 5: min=130.1285858154297, max=154.0880126953125
region 6: min=145.71713256835938, max=155.18255615234375
region 7: min=118.41986846923828, max=131.97430419921875
region 8: min=154.650146484375, max=171.01890563964844
region 9: min=140.39100646972656, max=168.7476348876953
